sorted,word,full text,candidates
"(ambiance_E, ambience_href)",ambiance,"1923, a reborrowing of the French form of ambience (q.v.), used in art writing as a term meaning ""atmospheric effect of an arrangement.""",ambience
"(ave_E, ave_L);(ave_L, avere_L)",ave,"""hail,"" also ""farewell,"" early 13c. (in reference to the Ave Maria), from Latin ave, second person singular imperative of avere ""to be or fare well.""","Ave Maria,ave,avere"
"(anti-Semitic_E, anti-Semitism_href)",anti-Semitic,"""of or pertaining to anti-Semites,"" 1881, see anti-Semitism.",anti-Semitism
"(allocate_E, allocate_MediL);(allocate_MediL, allocare_MediL);(allocare_L, ad_L locare_L);(locare_L, locus_L)",allocate,"""to set aside for a special purpose,"" 1630s, from Medieval Latin allocate (the common first word of writs authorizing payment), imperative plural of allocare ""allocate, allot,"" from Latin ad ""to"" (see ad-) + locare ""to place,"" from locus ""a place"" (see locus). It is a twin of allow. Related: Allocated; allocating. English allocate as an adjective from mid-15c. in legal use.","allocate,allocare,ad,ad-,locare,locus,locus,allow,Allocated,allocating,allocate"
"(ask_E, ascian_OE);(ascian_OE, ahsian_OE);(ahsian_OE, *aiskojanan_PGer);(*aiskojanan_PGer, *ais-_PIE)",ask,"Old English ascian ""ask, call for an answer; make a request,"" from earlier ahsian, from Proto-Germanic *aiskojanan (source also of Old Saxon escon, Old Frisian askia ""request, demand, ask,"" Middle Dutch eiscen, Dutch eisen ""to ask, demand,"" Old High German eiscon ""to ask (a question),"" German heischen ""to ask, demand""), from PIE *ais- ""to wish, desire"" (source also of Sanskrit icchati ""seeks, desires,"" Armenian aic ""investigation,"" Old Church Slavonic iskati ""to seek,"" Lithuanian ieškau, ieškoti ""to seek"").
Form in English influenced by a Scandinavian cognate (such as Danish æske; the Old English would have evolved by normal sound changes into ash, esh, which was a Midlands and southwestern England dialect form). Modern dialectal ax is as old as Old English acsian and was an accepted literary variant until c. 1600. Related: Asked; asking.
Old English also had fregnan/frignan which carried more directly the sense of ""question, inquire,"" and is from PIE root *prek-, the common source of words for ""ask"" in most Indo-European languages (see pray). If you ask me ""in my opinion"" is attested from 1910.","ascian,ahsian,*aiskojanan,escon,askia,eiscen,eisen,eiscon,heischen,*ais-,icchati,aic,iskati,ieškau, ieškoti,æske,ash,esh,ax,acsian,Asked,asking,fregnan,frignan,*prek-,pray,If you ask me"
"(annular_E, annulaire_F);(annulaire_F, annularis_MediL);(annularis_MediL, annulus_MediL);(annulus_MediL, anus_LL)",annular,"""ring-shaped,"" 1570s, from French annulaire (16c.) or directly from Medieval Latin annularis ""pertaining to a ring,"" from annulus, misspelled diminutive of Latin anus ""ring"" (see anus). An annular eclipse (1727) is one in which the dark body of the moon is smaller than the disk of the sun, so that at the height of it the sun, due to the moon's remoteness from Earth, appears as a ring of light. Related: Annularity.","annulaire,annularis,annulus,anus,anus,annular eclipse,Annularity"
"(acclamation_E, acclamationem_L);(acclamationem_L, acclamare_L);(acclamare_L, ad_L clamare_L);(clamare_L, *kele- (2)_LPIE)",acclamation,"1540s, ""act of shouting or applauding in approval,"" from Latin acclamationem (nominative acclamatio) ""a calling, exclamation, shout of approval,"" noun of action from past-participle stem of acclamare ""to call to, cry out at, shout approval or disapproval of,"" from assimilated form of ad ""to, toward"" (see ad-) + clamare ""cry out,"" from PIE root *kele- (2) ""to shout."" As a method of spontaneous approval of resolutions, etc., by unanimous voice vote, by 1801, probably from the French Revolution.","acclamationem,acclamatio,acclamare,ad,ad-,clamare,*kele-"
"(air-port_E, air (n.1)_E, port (n.2)_E)",air-port,"""small opening in the side of a ship to admit air and light,"" 1788, from air (n.1) + port (n.2).","air,port"
"(aerate_E, aer_OE/aër_OE);(aer/aër_OE, aer_L, -ate (2)_L)",aerate,"""cause to mix with carbonic acid or other gas, 1794 (implied in aerated), from aer/aër (used in old science for specific kinds of air, a sense later given to gas (n.1)), from Latin aer (see air (n.1)) + verbal suffix -ate (2). Meaning ""expose to air"" is from 1799, probably a back-formation from aeration. Related: Aerating.","aerated,aer,aër,gas,aer,air,-ate,aeration,Aerating"
"(abortionist_E, abortion_E, -ist_E)",abortionist,"""one who produces an abortion,"" 1848, from abortion + -ist.","abortion,-ist"
"(anabaptist_E, anabaptista_ModL);(anabaptista_ModL, anabaptismus_LateL);(anabaptismus_LateL, anabaptismos_EG);(anabaptismos_EG, ana_EGG, baptismos_G)",Anabaptist,"class of Christians who regard infant baptism as invalid, 1530s, literally ""one who baptizes over again,"" from Modern Latin anabaptista, from Late Latin anabaptismus ""second baptism"" (used in literal sense from 4c.), from Ecclesiastical Greek anabaptismos, from ana ""again, anew"" (see ana-) + baptismos ""baptism"" (see baptism).

Originally in English in reference to the sects that practiced adult baptism and arose in Germany from 1521. Probably so called because, as a new faith, they baptized converts who already had been baptized (as infants) in the older Catholic or older Protestant churches. Modern branches (notably Mennonites and Amish) baptize only once (adults) and do not actively seek converts. The name also was applied, usually opprobriously, to Baptists, perhaps due to the multiple immersions of their baptisms.","anabaptista,anabaptismus,anabaptismos,ana,ana-,baptismos,baptism,Baptists"
"(Apollonian_E, Apollo_E, -ian_E);(Apollon_E, Apollon_G)",Apollonian,"1660s, ""of, pertaining to, or resembling the Greek god Apollo,"" from Apollo (Greek Apollon) + -ian. The Greek adjective was Apollonios. Other adjectival forms in English include Apollinarian, Apollonic, Apolline (c. 1600). Also sometimes in reference to Apollonius of Perga, the great geometer.","Apollo,Apollon,-ian,Apollonios,Apollinarian,Apollonic,Apolline,Apollonius"
