source,target,word_family
approbate_E,approbatus_L,approbate
approbatus_L,approbare_L,approbate
affectation_E,affectation_F/affectationem_L,affectation
affectation_F/affectationem_L,affectare_L,affectation
aeroplane_E,aéroplane_F,aeroplane
aéroplane_F,aero-_G,aeroplane
planer_F,planus_L,aeroplane
planus_L,*pele- (2)_PIE,aeroplane
abscissa_E,abscisse_L,abscissa
abscisse_L,abscissa_L,abscissa
abscissa_L,abscissa (linea)_L,abscissa
abscissa (linea)_L,abscissus_L,abscissa
avowed_E,avow_E,avowed
antelope_E,antelop_OF,antelope
antelop_OF,antalopus_MediL/antthalopus_MediL,antelope
antalopus_MediL/anthalopus_MediL,antholops_LateG,antelope
arbor vitae_E,arbor (n.2)_E,arbor vitae
ail_E,eglan_OE,ail
eglan_OE,*azljaz_PGer,ail
*azljaz_PGer,*agh-lo-_PIE,ail
*agh-lo-_PIE,*agh- (1)_PIE,ail
autobiography_E,auto-_E,autobiography
aggressive_E,aggress-_L,aggressive
aggress-_L,aggredi_L,aggressive
aggredi_L,ad_L,aggressive
abusive_E,abusif_F,abusive
abusif_F,abusivus_L,abusive
abusivus_L,abus-_L,abusive
abus-_L,abuti_L,abusive
alkali_E,alkali_MediL,alkali
alkali_MediL,al-qaliy_A,alkali
al-qaliy_A,qala_A,alkali
adjudant_E,adiutantem_L,adjudant
adiutantem_L,adiutare_L,adjudant
adiutare_L,adiuvare_L,adjudant
arrondissement_E,arrondir_F,arrondissement
arrondir_F,a-_F,arrondissement
attentiveness_E,attentive_E,attentiveness
thermainein_G,thermos_G,athermanous
Alcyone_E,Aklyone_G,Alcyone
Aklyone_G,alkyon_G,Alcyone
abductor_E,abductor_L,abductor
abductor_L,abducere_L,abductor
abducere_L,ab_L,abductor
ducere_L,*deuk-_PIE,abductor
arachnologist_E,arachnid_E,arachnologist
against_E,agenes_E,against
agenes_E,agan_E,against
attribution_E,attributionem_L,attribution
attributionem_L,attribuere_L,attribution
attribuere_L,ad_L,attribution
anesthetize_E,anaisthetos_G,anesthetize
accomplishable_E,accomplish_E,accomplishable
amphibrach_E,amphibrachus_L,amphibrach
amphibrachus_L,amphibrakhys_G,amphibrach
amphibrakhys_G,amphi_G,amphibrach
brakhys_G,*mregh-u-_PIE,amphibrach
agree_E,agreer_OF,agree
agreer_OF,a gré_OF,agree
a gré_OF,a_L,agree
gre_OF,gratum_L,agree
acceptable_E,acceptable_OF,acceptable
acceptable_OF,acceptabilis_L,acceptable
acceptabilis_L,acceptare_L,acceptable
avaunt_E,avant_OF,avaunt
apparel (v.)_E,apareillier_OF,apparel (v.)
apparillier_OF,*appariculare_VL,apparel (v.)
*appariculare_VL,apparare_L,apparel (v.)
apparare_L,*ad-particulare_VL,apparel (v.)
apparel (n.)_E,apareil_OF,apparel (n.)
apareil_OF,apareillier_OF,apparel (n.)
argent_E,argent_OF,argent
argent_OF,argentum_L,argent
argentum_L,*arg-ent-_PIE,argent
*arg-ent-_PIE,*arg-_PIE,argent
animalism_E,animal_E,animalism
admirality_E,admiralte_E,admirality
admirale_E,amiralte_OF,admirality
amiralte_OF,amirail_OF,admirality
aitchbone_E,nache-bone_E,aitchbone
nache-bone_E,nache_E,aitchbone
nache_E,nache_OF/nage_OF,aitchbone
nache_OF/nage_OF,*natica_MediL,aitchbone
arthralgia_E,arthron_G,arthralgia
arthron_G,*ar-_PIE,arthralgia
autoimmune_E,auto-_E,autoimmune
alright_E,all right_E,alright
aril_E,arillus_ModL,aril
arillus_ModL,arilli_MediL,aril
arilli_MediL,arillos_Span,aril
arillos_Span,aridus_L,aril
atmospheric_E,atmosphere_E,atmospheric
Azores_E,azor açor_Por,Azores
aculeate_E,aculeatus_L,aculeate
aculeatus_L,aculeus_L,aculeate
aculeus_L,acus_L,aculeate
acus_L,*ak-_PIE,aculeate
awning_E,auvans_F,awning
auvans_F,auvent_F,awning
anomic_E,anomique_F,anomic
arithmancy_E,arithmos_G,arithmancy
ack-ack_E,A.A._E,ack-ack
animate (v.)_E,animatus_L,animate (v.)
animatus_L,animare_L,animate (v.)
animare_L,anima_L,animate (v.)
animate (adj.)_E,animatus_L,animate (adj.)
animatus_L,animare_L,animate (adj.)
animare_L,anima_L,animate (adj.)
anima_L,*ane-_PIE,animate (adj.)
achoo_E,atcha_E,achoo
acquirement_E,acquire_E,acquirement
ablution_E,ablutionem_L,ablution
ablution_L,abluere_L,ablution
abluere_L,ab_L,ablution
luere_L,*leue-_PIE,ablution
afterbirth_E,after_E,afterbirth
atlatl_E,atlatl_Nah,atlatl
aforementioned_E,afore_E,aforementioned
arduous_E,arduus_L,arduous
arduus_L,*eredh-_PIE,arduous
aforetime_E,afore_E,aforetime
antipasto_E,antipasto_I,antipasto
antipasto_I,anti-_I,antipasto
pasto_I,pascere_L,antipasto
pascere_L,*pa-_PIE,antipasto
algologist_E,alga_L,algologist
arable_E,arable_OF,arable
arable_OF,arabilis_L,arable
arabilis_L,arare_L,arable
arare_L,*erie-_PIE,arable
amontillado_E,amontillado_Span,amontillado
amontillado_Span,a_Span,amontillado
articulated_E,articulate (v.)_E,articulated
architect_E,architecte_F,architect
architecte_F,architectus_L,architect
architectus_L,arkhitekton_G,architect
arkhitekton_G,arkhi-_G,architect
aggessor_E,aggressor_L,aggessor
aggessor_L,aggredi_L,aggessor
attribute (v.)_E,attributus_L,attribute (v.)
attributus_L,attribuere_L,attribute (v.)
attribuere_L,ad_L,attribute (v.)
attribute (n.)_E,attributum_L,attribute (n.)
attributum_L,attributus_L,attribute (n.)
attributus_L,attribuere_L,attribute (n.)
arrogation_E,arrogationem_L,arrogation
arrogationem_L,arrogare_L,arrogation
arthroscopic_E,arthroscopy_E,arthroscopic
ambi-_E,ambi-_L,ambi-
ambi-_L,*ambhi-_PIE,ambi-
*ambhi-_PIE,*ant-bhi_PIE,ambi-
antipathic_E,antipathy_E,antipathic
atentive_E,attendantf_OF,atentive
atentif_OF,attendere_L,atentive
amendment_E,amendement_OF,amendment
amendement_OF,amender_OF,amendment
antiquated_E,antiquate_E,antiquated
antiquate_E,antiquatus_L,antiquated
antiquatus_L,antiquare_L,antiquated
antiquare_L,antiquus_L,antiquated
apodal_E,apous_G,apodal
pous_G,*ped-_PIE,apodal
aerodrome_E,aero-_E,aerodrome
aerodrome_E,hippodrome_E,aerodrome
anthomania_E,anthos_G,anthomania
annuity_E,annuité_AF,annuity
annuité_AF,annuitatem_OF,annuity
annuitatem_OF,annus_L,annuity
aorta_E,aorta_MediL,aorta
aorta_MediL,aorte_G,aorta
aorte_G,aeirein_G,aorta
aeirein_G,*wer- (1)_PIE,aorta
appraisal_E,appraise_E,appraisal
Amerasian_E,American_E,Amerasian
appreciate_E,appretiatus_LateL,appreciate
appretiatus_LateL,appretiare_L,appreciate
appretiare_L,ad_L,appreciate
Aquarius_E,aquarius_L,Aquarius
aquarius_L,Hydrokhoos_G,Aquarius
ad lib_E,ad libitum_L,ad lib
ad libitum_L,ad_L,ad lib
libitum_L,libere_L,ad lib
Anastasia_E,Anastasius_LateL,Anastasia
Anastasius_LateL,Anastasios_G,Anastasia
Anastasios_G,anastasis_G,Anastasia
anastasis_G,ana_G,Anastasia
affluent_E,afluent_OF/affluentem_L,affluent
afluent_OF/affluentem_L,affluere_L,affluent
affluere_L,ad_L,affluent
arrival_E,arrivaille_AF,arrival
arrivaille_AF,ariver_OF,arrival
avionics_E,aviation_E,avionics
alate_E,alatus_L,alate
alatus_L,ala_L,alate
ala_L,*axla_L,alate
*axla_L,*aks-_PIE,alate
astrophysicist_E,astro-_E,astrophysicist
aggrieve_E,agreven_E,aggrieve
agreven_E,agrever_OF,aggrieve
agrever_OF,aggravare_L,aggrieve
aggravare_L,ad_L,aggrieve
foran (adv.)_E,foran_E,afore
autochthonous_E,autochthon_E,autochthonous
auricular_E,auricularis_MediL,auricular
auricularis_MediL,auricula_L,auricular
auricula_L,auris_L,auricular
adolescent (n.)_E,adolescent_F/adolescentem_L,adolescent (n.)
adolescent_F/adolescentem_L,adolescere_L,adolescent (n.)
adolescent (adj.)_E,adolescentem_L/adulescentem_L,adolescent (adj.)
adolescentem_L/adulescentem_L,adolescere_L,adolescent (adj.)
argumentative_E,argumentatif_OF,argumentative
argumentatif_OF,argumentat-_MediL,argumentative
argumentat-_MediL,argumentari_L,argumentative
argumentari_L,argumentum_L,argumentative
Akkadian_E,Akkad_E,Akkadian
aqua fortis_E,aqua-_E,aqua fortis
Alpine_E,Alpinus_L,Alpine
anciently_E,ancient (adj.)_E,anciently
